Site number,Sp.Lim,Av.Sp,ef.p,ov.lim,fifteen.ov.lim,Flow,Class,Type,Slight,Serious,Fatal
103,30,36.6,42,88,52.7,3733,1,1,2,0,0
104,40,34.6,40.2,10.8,2.7,13448,1,3,6,0,0
190,30,20.6,35,4,0.5,16625,1,1,20,3,0
194,30,34,39.4,74.1,33.7,10379,3,1,7,0,0
417,30,37.2,42.7,90.5,5.3,10949,1,1,1,1,0
451,50,46.8,53.9,23.7,5.5,22663,1,2,6,2,0
455,30,30.6,35.4,45.9,0.3,9763,1,1,2,0,0
456,30,27.3,31.8,17.4,0,8800,1,1,0,0,0
460,70,36.9,45.4,0.2,0,15851,1,2,2,0,0
461,60,37.4,42.9,0,0,8662,1,1,0,0,0
508,30,31.1,35.8,50.9,0.5,21036,1,3,4,0,0
541,30,19,24.6,2.8,1.5,4500,3,1,19,5,0
596,70,45.3,54.4,0.3,0,13484,1,2,3,0,0
597,70,37.8,47.2,0,0,15947,1,2,1,1,1
623,30,30.2,35.5,41.9,0.5,19408,1,1,5,1,0
692,70,57.3,67.9,7.7,0,37144,1,2,5,0,0
1204,30,29.8,35.2,39.2,0.5,1780,0,1,0,0,0
1212,30,30.5,35.2,46.4,0.1,7660,1,1,1,0,0
1213,30,28.3,33.4,24.9,0,11652,1,1,5,0,0
2208,30,29.4,34.5,33.9,0.2,9745,1,1,8,1,0
3201,30,33.8,39.5,69.9,3,9307,3,1,1,0,0
3202,30,27.9,33.3,24.1,0,6764,3,1,2,0,0
3203,30,29.4,34.4,32.7,0.2,9082,2,1,5,0,0
3204,30,28.4,33.2,23.6,0.1,5804,3,1,5,0,0
3205,30,27.9,32.9,21.6,0.2,8167,2,1,8,0,0
3208,30,34.9,40,80.8,39.7,6279,3,1,4,0,0
3209,30,32,37.4,56.9,1.4,8811,1,1,5,0,0
4051,40,36.7,42.6,19.7,4.1,12347,2,1,2,1,0
4060,30,33.9,39.2,75.9,1,14158,2,1,4,0,0
4135,40,36.6,42.1,18.1,3.3,12598,1,1,11,0,0
4142,30,29.2,34,30.5,6.5,6251,0,1,1,0,0
4166,30,31.2,37.8,53.9,23.1,2327,0,1,2,0,0
4173,30,31.3,37,53.8,29.5,1874,0,1,2,0,0
4227,30,33.8,40.8,47.2,13.5,2632,3,1,0,0,0
4235,30,25,32.7,19.7,6.8,2268,0,1,1,0,0
4400,60,46.6,54.3,3.7,0.7,8427,1,1,2,0,0
4404,60,39.6,45.6,0.3,0,10976,1,1,3,0,0
4411,30,23.4,29.2,6.1,0.1,11293,3,1,3,0,0
4414,60,37.2,43.3,0.1,0,7496,2,1,3,1,0
4420,30,31,35.5,48,0.1,5416,2,1,5,2,0
4421,40,30.8,38.7,6.4,1,21741,3,2,16,0,0
4424,30,32.4,39.3,58.9,2.9,6807,0,1,2,0,0
4426,30,30,36.8,43.9,1.6,2250,0,1,0,0,0
4430,30,29,34.7,34.1,0.3,20105,1,2,0,0,0
4436,30,21.6,27.1,5.5,0.1,8454,2,1,3,0,0
4437,30,37.1,44.7,81.8,10.2,1517,0,1,0,0,0
4438,60,43.8,50.3,1.1,0.1,8384,2,1,9,1,0
4439,30,35.8,42.9,81.1,5.7,2915,3,1,1,0,0
4441,30,28.9,35.5,38.7,0.6,1838,3,1,2,0,1
4442,60,40.6,48.2,0.2,0,886,3,1,5,2,0
4443,60,40.7,47.7,0.6,0.1,6066,3,1,6,0,1
4444,30,36.5,42.9,82.6,5.2,1888,3,1,2,0,0
4445,30,36.4,44,81.1,8.1,1985,3,1,0,0,0
4447,30,38,44.5,88.6,9.4,5386,0,1,0,1,0
4453,30,32.2,37.5,60.5,0.8,18333,2,1,2,1,0
4456,30,29.2,34.4,32.1,0.9,4777,3,1,6,2,0
4458,30,35.6,40.3,86.4,2.3,7060,3,1,2,2,1
4459,30,26,32.5,20.2,0,6348,2,1,0,0,0
4462,30,33.6,39.5,69.8,1.8,3301,3,1,0,0,0
4463,30,35.6,42.5,78.3,5.9,7219,3,1,1,0,0
4702,30,18.4,23.4,1.7,0.7,12082,1,1,10,1,0
4703,60,29.5,34.4,1.1,1.1,7805,1,1,7,1,0
4705,30,18.3,23,0.6,0.3,5847,0,1,8,1,0
4707,30,32.5,37.4,46.5,6.2,13011,3,1,2,0,0
4733,30,31.4,38.3,55.7,1.1,1283,0,1,0,0,0
5203,30,30.6,35.4,45.7,0.2,13001,1,1,2,0,0
5204,60,42.9,51,1.6,0.2,5911,2,1,1,0,0
